1,1929,1,1
2,1930,2,1
3,1931,3,1
4,1932,4,1
5,1933,5,1
6,1934,6,1
7,1935,7,1
8,1936,8,1
9,1937,9,1
10,1938,10,1
11,1939,11,1
12,1940,12,1
13,1941,13,1
14,1942,14,1
15,1943,15,1
16,1944,16,1
17,1945,17,1
18,1946,18,1
19,1947,19,1
20,1948,20,1
21,1949,21,1
22,1950,22,1
23,1951,23,1
24,1952,24,1
25,1953,25,1
26,1954,26,1
27,1955,27,1
28,1956,28,1
29,1957,29,1
30,1958,30,1
31,1959,31,1
32,1960,32,1
33,1961,33,1
34,1962,34,1
35,1963,35,1
36,1964,36,1
37,1965,37,1
38,1966,38,1
39,1967,39,1
40,1968,40,1
41,1969,41,1
42,1970,42,1
43,1971,43,1
44,1972,44,1
45,1973,45,1
46,1974,46,1
47,1975,47,1
48,1976,48,1
49,1977,49,1
50,1978,50,1
51,1979,51,1
52,1980,52,1
53,1981,53,1
54,1982,54,1
55,1983,55,1
56,1984,56,1
57,1985,57,1
58,1986,58,1
59,1987,59,1
60,1988,60,1
61,1989,61,1
62,1990,62,1
63,1991,63,1
64,1992,64,1
65,1993,65,1
66,1994,66,1
67,1995,67,1
68,1996,68,1
69,1997,69,1
70,1998,70,1
71,1999,71,1
72,2000,72,1
73,2001,73,1
74,2002,74,1
75,2003,75,1
76,2004,76,1
77,2005,77,1
78,2006,78,1
79,2007,79,1
80,2008,80,1
81,2009,81,1
82,2010,82,1
83,2011,83,1
84,2012,84,1
85,2013,85,1
86,2014,86,1
87,2015,87,1
88,2016,88,1
89,2017,89,1
90,2018,90,1
91,2019,91,1
92,2020,92,1
93,1945,18,2
94,1955,28,2
95,2019,92,2